Altitude (m),Resized Sim Count,Exp Count
0,0.3631578017063695,
100,0.403342067130526,
200,0.4486243363771501,
300,0.5002041397574106,
400,0.5475855870485803,
500,0.583871378961438,
600,0.6327522391415686,
700,0.6798338038549461,
800,0.7317134898129988,4.28
900,0.7757962287484541,2.48
1000,0.8198789676839093,3.33
1100,0.8726583013753387,1.03
1200,0.9389323510674178,0.84
1300,1.0094047568485878,1.06
1400,1.0729798633405367,0.95
1500,1.1455514471662522,1.24
1600,1.2304182166814484,1.12
1700,1.2993912095736573,1.56
1800,1.4124469414013214,1.41
1900,1.4874175858493746,1.34
2000,1.5860789539430127,1.49
2100,1.7030331592819756,1.58
2200,1.8085918266648344,1.64
2300,1.899756130313667,1.34
2400,2.0071140931632794,1.68
2500,2.1156715863240603,1.95
2600,2.2257284923738023,1.33
2700,2.3405835196682196,1.53
2800,2.490524808564326,2.2
2900,2.5813892296353664,2.08
3000,2.720834628308745,2.56
3100,2.8704760346270595,2.14
3200,3.0072224901003084,2.69
3300,3.1601626047743365,1.79
3400,3.332894969582651,2.44
3500,3.4693415424781078,3.08
3600,3.621981774574344,2.83
3700,3.8043103818720096,3.4
3800,3.9875386369030514,2.96
3900,4.171366657089678,3.58
4000,4.328205245275005,2.81
4100,4.526427629195657,3.99
4200,4.744442263250596,3.48
4300,4.989446329306833,3.56
4400,5.2530431151861885,3.99
4500,5.453064794573595,3.94
4600,5.678576493073338,3.53
4700,5.947871047930746,3.54
4800,6.246254212833997,4.61
4900,6.524545245025171,4.94
5000,6.762352129214395,5.23
5100,6.96357333891297,4.44
5200,7.146201828788427,5.47
5300,7.439187107291419,6.01
5400,7.705482836370904,5.8
5500,8.044050266698312,4.91
5600,8.420402901827538,4.96
5700,8.708590059085855,5.51
5800,9.062451500880666,6.55
5900,9.440603431476646,7.25
6000,9.765976028381196,7.26
6100,10.166019387156009,6.4
6200,10.440711828413676,8.3
6300,10.838356126566149,8.5
6400,11.320267429078235,7.13
6500,11.646839556293955,10.01
6600,12.00399970644448,8.01
6700,12.341367606460718,8.24
6800,12.793890416349168,10.5
6900,13.291695495484241,8.45
7000,13.746017600839442,9.1
7100,14.237225263263086,10.37
7200,14.844187600714525,9.86
7300,15.30300794473661,10.48
7400,15.703351186089215,10.63
7500,16.06620910521779,12.16
7600,16.57960807839806,12.61
7700,17.13798943824716,11.32
7800,17.648389585649507,12.24
7900,18.217266835721333,13.48
8000,18.803537275305107,13.95
8100,19.248862903326543,12.99
8200,19.774557062196294,15.4
8300,20.319743588622536,14.52
8400,20.93960087691904,14.32
8500,21.432008069653854,16.77
8600,21.94810598603425,16.37
8700,22.61774378224426,16.85
8800,23.321568192322584,18.46
8900,23.906639101595193,19.22
9000,24.519898973180265,18.89
9100,25.223123618103006,21.61
9200,25.92185002435886,19.12
9300,26.51141917229835,20.73
9400,27.185855089753037,21.52
9500,27.76402869973642,20.76
9600,28.384185870610718,22.47
9700,29.053223901665145,21.0
9800,29.63679539804879,23.64
9900,30.1369995378062,23.08
10000,30.892403751264784,24.91
10100,31.646908316989993,25.49
10200,32.32284364733364,27.12
10300,32.95439635616404,26.35
10400,33.50468088641275,29.21
10500,34.00968314741483,26.65
10600,34.82626340674303,31.65
10700,35.52319051753213,32.05
10800,36.16733829462981,30.94
10900,36.947032996889554,35.21
